A,B,C,D,Vth,exp_exact,exp_k1
1219,1598,52,2742,0,1,1
896,623,170,1085,0,1,1
3521,575,2238,1452,0,1,1
1085,3167,148,855,0,1,1
1603,857,1276,2596,0,1,1
3670,349,1144,3927,0,1,1
1253,3958,3834,204,0,1,1
2097,3432,1720,205,0,1,1
588,28,133,1,0,1,1
27,374,2,2796,0,1,1
3764,2350,1709,2937,0,1,1
2567,5,54,168,0,1,1
2673,1734,393,1623,0,1,1
2573,866,174,2975,0,1,1
3027,4010,2958,98,0,1,1
906,761,393,662,0,1,1
1330,983,2145,2282,0,1,1
3839,3432,3174,452,0,1,1
2,474,1709,22,0,1,1
2752,365,3923,252,0,1,1
2535,2129,518,2098,0,1,1
1106,1890,500,2202,0,1,1
1060,433,1617,3617,0,1,1
3,2825,52,89,0,1,1
238,28,16,725,0,1,1
401,1024,1590,434,0,1,1
526,2472,2332,3704,0,1,1
1427,3614,2763,2624,0,1,1
1648,250,1216,2939,0,1,1
2901,2957,2743,1086,0,1,1
1950,330,3658,1248,0,1,1
3451,1680,1380,3225,0,1,1
10,2449,525,35,0,1,1
3675,3805,1283,3668,0,1,1
3027,3562,789,3871,0,1,1
634,29,110,89,0,1,1
2992,0,563,71,0,1,1
2985,2896,379,4076,0,1,1
3625,3010,3194,880,0,1,1
1772,2204,695,592,0,1,1
750,3250,1875,2978,0,1,1
3119,1429,313,1892,0,1,1
1345,3535,77,2538,0,1,1
3835,245,296,3566,0,1,1
3374,5,4,889,0,1,1
793,6,4,230,0,1,1
3299,2812,3651,2609,0,1,1
6,3381,37,630,0,1,1
809,2258,1569,837,0,1,1
1157,1133,1074,2802,0,1,1
3426,2357,1653,2659,0,1,1
204,3166,3996,2695,0,1,1
2327,1761,152,4091,0,1,1
1063,2012,1150,1382,0,1,1
28,389,375,3094,0,1,1
1002,1978,2661,3446,0,1,1
16,1267,2062,7,0,1,1
1456,222,2170,1924,0,1,1
1481,1388,178,3504,0,1,1
2584,1349,2546,282,0,1,1
